DATE,PISPPR01JPM661N
1960-01-01,20.8216216216216
1960-02-01,20.627027027027
1960-03-01,20.5297297297297
1960-04-01,20.4324324324324
1960-05-01,20.4324324324324
1960-06-01,20.4324324324324
1960-07-01,20.2378378378378
1960-08-01,20.3351351351351
1960-09-01,20.4324324324324
1960-10-01,20.627027027027
1960-11-01,20.9189189189189
1960-12-01,21.0162162162162
1961-01-01,21.1135135135135
1961-02-01,21.2108108108108
1961-03-01,21.5027027027027
1961-04-01,21.7945945945946
1961-05-01,21.7945945945946
1961-06-01,21.6972972972973
1961-07-01,21.8918918918919
1961-08-01,22.1837837837838
1961-09-01,22.1837837837838
1961-10-01,21.9891891891892
1961-11-01,21.9891891891892
1961-12-01,21.7945945945946
1962-01-01,21.5027027027027
1962-02-01,21.5027027027027
1962-03-01,21.5027027027027
1962-04-01,21.2108108108108
1962-05-01,21.1135135135135
1962-06-01,21.0162162162162
1962-07-01,21.0162162162162
1962-08-01,21.2108108108108
1962-09-01,21.2108108108108
1962-10-01,21.2108108108108
1962-11-01,21.2108108108108
1962-12-01,21.3081081081081
1963-01-01,21.5027027027027
1963-02-01,21.6972972972973
1963-03-01,21.7945945945946
1963-04-01,21.7945945945946
1963-05-01,21.7945945945946
1963-06-01,21.9891891891892
1963-07-01,21.9891891891892
1963-08-01,22.2810810810811
1963-09-01,22.3783783783784
1963-10-01,22.3783783783784
1963-11-01,22.4756756756757
1963-12-01,22.6702702702703
1964-01-01,22.7675675675676
1964-02-01,22.7675675675676
1964-03-01,22.4756756756757
1964-04-01,22.3783783783784
1964-05-01,21.9891891891892
1964-06-01,22.1837837837838
1964-07-01,22.1837837837838
1964-08-01,22.1837837837838
1964-09-01,22.4756756756757
1964-10-01,22.4756756756757
1964-11-01,22.4756756756757
1964-12-01,22.4756756756757
1965-01-01,22.3783783783784
1965-02-01,22.4756756756757
1965-03-01,22.3783783783784
1965-04-01,22.3783783783784
1965-05-01,22.4756756756757
1965-06-01,22.4756756756757
1965-07-01,22.3783783783784
1965-08-01,22.4756756756757
1965-09-01,22.572972972973
1965-10-01,22.572972972973
1965-11-01,22.7675675675676
1965-12-01,23.0594594594595
1966-01-01,23.4486486486486
1966-02-01,23.8378378378378
1966-03-01,23.7405405405405
1966-04-01,23.7405405405405
1966-05-01,23.7405405405405
1966-06-01,23.7405405405405
1966-07-01,23.9351351351351
1966-08-01,23.8378378378378
1966-09-01,23.8378378378378
1966-10-01,24.1297297297297
1966-11-01,24.3243243243243
1966-12-01,24.3243243243243
1967-01-01,25.0054054054054
1967-02-01,25.2
1967-03-01,25.2
1967-04-01,24.8108108108108
1967-05-01,24.8108108108108
1967-06-01,24.8108108108108
1967-07-01,24.8108108108108
1967-08-01,24.8108108108108
1967-09-01,25.2972972972973
1967-10-01,25.2972972972973
1967-11-01,25.5891891891892
1967-12-01,25.7837837837838
1968-01-01,25.8810810810811
1968-02-01,25.9783783783784
1968-03-01,25.8810810810811
1968-04-01,25.5891891891892
1968-05-01,25.2972972972973
1968-06-01,25.2
1968-07-01,25.2
1968-08-01,25.2
1968-09-01,25.2972972972973
1968-10-01,25.3945945945946
1968-11-01,25.3945945945946
1968-12-01,25.2972972972973
1969-01-01,25.5891891891892
1969-02-01,25.5891891891892
1969-03-01,25.7837837837838
1969-04-01,25.7837837837838
1969-05-01,25.8810810810811
1969-06-01,25.9783783783784
1969-07-01,26.0756756756757
1969-08-01,26.3675675675676
1969-09-01,26.7567567567568
1969-10-01,26.7567567567568
1969-11-01,26.8540540540541
1969-12-01,27.0486486486486
1970-01-01,27.0486486486486
1970-02-01,27.1459459459459
1970-03-01,27.3405405405405
1970-04-01,27.1459459459459
1970-05-01,27.1459459459459
1970-06-01,26.7567567567568
1970-07-01,26.7567567567568
1970-08-01,26.7567567567568
1970-09-01,26.8540540540541
1970-10-01,26.6594594594595
1970-11-01,26.6594594594595
1970-12-01,26.5621621621622
1971-01-01,26.8540540540541
1971-02-01,26.7567567567568
1971-03-01,26.8540540540541
1971-04-01,27.0486486486486
1971-05-01,27.0486486486486
1971-06-01,27.0486486486486
1971-07-01,27.1459459459459
1971-08-01,27.0486486486486
1971-09-01,26.4648648648649
1971-10-01,26.172972972973
1971-11-01,25.8810810810811
1971-12-01,25.5891891891892
1972-01-01,25.5891891891892
1972-02-01,25.5891891891892
1972-03-01,25.5891891891892
1972-04-01,25.7837837837838
1972-05-01,25.8810810810811
1972-06-01,25.8810810810811
1972-07-01,25.5891891891892
1972-08-01,25.8810810810811
1972-09-01,26.2702702702703
1972-10-01,26.7567567567568
1972-11-01,27.5351351351351
1972-12-01,28.8
1973-01-01,30.0648648648649
1973-02-01,30.3567567567568
1973-03-01,30.3567567567568
1973-04-01,30.0648648648649
1973-05-01,30.6486486486486
1973-06-01,31.3297297297297
1973-07-01,32.6918918918919
1973-08-01,33.9567567567567
1973-09-01,34.3459459459459
1973-10-01,35.5135135135135
1973-11-01,37.4594594594595
1973-12-01,39.4054054054054
1974-01-01,43.3945945945946
1974-02-01,51.2756756756757
1974-03-01,52.5405405405405
1974-04-01,52.6378378378378
1974-05-01,54.0972972972973
1974-06-01,54.5837837837838
1974-07-01,55.945945945946
1974-08-01,58.0864864864865
1974-09-01,57.8918918918919
1974-10-01,56.9189189189189
1974-11-01,57.2108108108108
1974-12-01,57.5027027027027
1975-01-01,56.8216216216216
1975-02-01,56.2378378378378
1975-03-01,55.4594594594595
1975-04-01,56.3351351351351
1975-05-01,56.1405405405405
1975-06-01,56.1405405405405
1975-07-01,56.4324324324324
