DATE,PITGCG01JPM661N
1960-01-01,53.7654986522911
1960-02-01,53.666846361186
1960-03-01,53.5681940700809
1960-04-01,53.4695417789757
1960-05-01,53.4695417789757
1960-06-01,53.4695417789757
1960-07-01,53.5681940700809
1960-08-01,53.8641509433962
1960-09-01,53.8641509433962
1960-10-01,53.7654986522911
1960-11-01,53.666846361186
1960-12-01,53.7654986522911
1961-01-01,53.666846361186
1961-02-01,53.666846361186
1961-03-01,53.666846361186
1961-04-01,53.666846361186
1961-05-01,53.666846361186
1961-06-01,53.7654986522911
1961-07-01,53.8641509433962
1961-08-01,53.9628032345014
1961-09-01,54.1601078167116
1961-10-01,54.2587601078167
1961-11-01,54.456064690027
1961-12-01,54.2587601078167
1962-01-01,54.2587601078167
1962-02-01,54.1601078167116
1962-03-01,53.9628032345014
1962-04-01,53.5681940700809
1962-05-01,53.4695417789757
1962-06-01,53.4695417789757
1962-07-01,53.7654986522911
1962-08-01,53.8641509433962
1962-09-01,53.8641509433962
1962-10-01,53.9628032345014
1962-11-01,53.9628032345014
1962-12-01,55.3439353099731
1963-01-01,55.3439353099731
1963-02-01,55.3439353099731
1963-03-01,55.3439353099731
1963-04-01,55.3439353099731
1963-05-01,55.4425876010782
1963-06-01,55.6398921832884
1963-07-01,55.7385444743936
1963-08-01,56.133153638814
1963-09-01,56.5277628032345
1963-10-01,56.8237196765499
1963-11-01,56.8237196765499
1963-12-01,56.8237196765499
1964-01-01,56.5277628032345
1964-02-01,56.133153638814
1964-03-01,55.9358490566038
1964-04-01,55.9358490566038
1964-05-01,55.7385444743936
1964-06-01,55.5412398921833
1964-07-01,55.6398921832884
1964-08-01,55.7385444743936
1964-09-01,56.0345013477089
1964-10-01,55.9358490566038
1964-11-01,56.0345013477089
1964-12-01,56.0345013477089
1965-01-01,57.2183288409704
1965-02-01,57.5142857142857
1965-03-01,57.711590296496
1965-04-01,57.6129380053908
1965-05-01,57.6129380053908
1965-06-01,57.6129380053908
1965-07-01,57.711590296496
1965-08-01,57.9088948787062
1965-09-01,58.4021563342318
1965-10-01,58.4021563342318
1965-11-01,58.599460916442
1965-12-01,58.8954177897574
1966-01-01,59.1913746630728
1966-02-01,59.2900269541779
1966-03-01,58.8954177897574
1966-04-01,58.9940700808625
1966-05-01,58.599460916442
1966-06-01,58.8954177897574
1966-07-01,58.599460916442
1966-08-01,58.8954177897574
1966-09-01,59.2900269541779
1966-10-01,59.388679245283
1966-11-01,59.388679245283
1966-12-01,59.388679245283
1967-01-01,59.388679245283
1967-02-01,59.388679245283
1967-03-01,59.4873315363881
1967-04-01,59.388679245283
1967-05-01,59.388679245283
1967-06-01,59.388679245283
1967-07-01,59.5859838274933
1967-08-01,60.2765498652291
1967-09-01,60.6711590296496
1967-10-01,61.5590296495957
1967-11-01,61.5590296495957
1967-12-01,61.7563342318059
1968-01-01,61.6576819407008
1968-02-01,61.854986522911
1968-03-01,61.7563342318059
1968-04-01,61.4603773584906
1968-05-01,62.644204851752
1968-06-01,62.7428571428571
1968-07-01,62.8415094339623
1968-08-01,62.9401617250674
1968-09-01,63.433423180593
1968-10-01,63.7293800539084
1968-11-01,64.1239892183288
1968-12-01,64.1239892183288
1969-01-01,63.9266846361186
1969-02-01,63.9266846361186
1969-03-01,64.1239892183288
1969-04-01,64.1239892183288
1969-05-01,64.1239892183288
1969-06-01,64.7159029649596
1969-07-01,64.7159029649596
1969-08-01,64.8145552560647
1969-09-01,65.11051212938
1969-10-01,65.2091644204852
1969-11-01,65.2091644204852
1969-12-01,65.5051212938005
1970-01-01,65.7024258760108
1970-02-01,65.899730458221
1970-03-01,65.899730458221
1970-04-01,65.899730458221
1970-05-01,65.7024258760108
1970-06-01,65.9983827493262
1970-07-01,65.9983827493262
1970-08-01,66.3929919137466
1970-09-01,66.9849056603774
1970-10-01,67.0835579514825
1970-11-01,67.2808625336927
1970-12-01,67.7741239892183
1971-01-01,67.2808625336927
1971-02-01,67.2808625336927
1971-03-01,67.3795148247978
1971-04-01,67.478167115903
1971-05-01,67.7741239892183
1971-06-01,67.7741239892183
1971-07-01,68.0700808625337
1971-08-01,68.2673854447439
1971-09-01,68.4646900269542
1971-10-01,68.3660377358491
1971-11-01,68.4646900269542
1971-12-01,68.6619946091644
1972-01-01,68.1687331536388
1972-02-01,68.3660377358491
1972-03-01,68.6619946091644
1972-04-01,68.6619946091644
1972-05-01,68.6619946091644
1972-06-01,68.6619946091644
1972-07-01,68.6619946091644
1972-08-01,69.2539083557952
1972-09-01,69.4512129380054
1972-10-01,69.8458221024259
1972-11-01,70.2404312668464
1972-12-01,70.6350404312668
1973-01-01,70.8323450134771
1973-02-01,72.0161725067386
1973-03-01,74.1865229110512
1973-04-01,74.0878706199461
1973-05-01,74.3838274932615
1973-06-01,74.9757412398922
1973-07-01,75.7649595687332
1973-08-01,76.6528301886793
1973-09-01,77.6393530997305
1973-10-01,78.1326145552561
1973-11-01,79.8097035040431
1973-12-01,82.6706199460916
1974-01-01,86.6167115902965
1974-02-01,89.5762803234501
1974-03-01,89.7735849056604
1974-04-01,90.0695417789758
1974-05-01,90.0695417789758
1974-06-01,90.7601078167116
1974-07-01,92.2398921832884
1974-08-01,92.733153638814
1974-09-01,93.7196765498652
1974-10-01,95.199460916442
1974-11-01,96.3832884097035
1974-12-01,96.8765498652291
1975-01-01,96.8765498652291
1975-02-01,96.8765498652291
1975-03-01,97.567115902965
1975-04-01,97.567115902965
1975-05-01,97.567115902965
1975-06-01,97.567115902965
1975-07-01,98.0603773584906
1975-08-01,98.4549865229111
