DATE,PITGND01JPM661N
1960-01-01,34.409939148073
1960-02-01,34.3159229208925
1960-03-01,34.1278904665314
1960-04-01,34.1278904665314
1960-05-01,34.1278904665314
1960-06-01,34.1278904665314
1960-07-01,34.221906693712
1960-08-01,34.5039553752536
1960-09-01,34.5979716024341
1960-10-01,34.5979716024341
1960-11-01,34.409939148073
1960-12-01,34.5039553752536
1961-01-01,34.409939148073
1961-02-01,34.409939148073
1961-03-01,34.3159229208925
1961-04-01,34.409939148073
1961-05-01,34.409939148073
1961-06-01,34.5979716024341
1961-07-01,34.5979716024341
1961-08-01,34.8800202839757
1961-09-01,34.9740365111562
1961-10-01,35.0680527383367
1961-11-01,35.0680527383367
1961-12-01,35.0680527383367
1962-01-01,35.0680527383367
1962-02-01,35.0680527383367
1962-03-01,34.8800202839757
1962-04-01,34.409939148073
1962-05-01,34.3159229208925
1962-06-01,34.3159229208925
1962-07-01,34.5979716024341
1962-08-01,34.6919878296146
1962-09-01,34.8800202839757
1962-10-01,34.9740365111562
1962-11-01,35.0680527383367
1962-12-01,36.1022312373225
1963-01-01,36.2902636916836
1963-02-01,36.2902636916836
1963-03-01,36.2902636916836
1963-04-01,36.2902636916836
1963-05-01,36.3842799188641
1963-06-01,36.6663286004057
1963-07-01,36.6663286004057
1963-08-01,36.9483772819473
1963-09-01,37.1364097363083
1963-10-01,37.2304259634888
1963-11-01,37.2304259634888
1963-12-01,37.2304259634888
1964-01-01,37.1364097363083
1964-02-01,36.9483772819473
1964-03-01,36.6663286004057
1964-04-01,36.6663286004057
1964-05-01,36.6663286004057
1964-06-01,36.3842799188641
1964-07-01,36.4782961460446
1964-08-01,36.6663286004057
1964-09-01,36.8543610547667
1964-10-01,36.7603448275862
1964-11-01,36.7603448275862
1964-12-01,36.9483772819473
1965-01-01,37.606490872211
1965-02-01,37.7005070993915
1965-03-01,37.9825557809331
1965-04-01,37.9825557809331
1965-05-01,37.8885395537525
1965-06-01,37.9825557809331
1965-07-01,37.9825557809331
1965-08-01,38.2646044624746
1965-09-01,38.6406693711968
1965-10-01,38.6406693711968
1965-11-01,38.7346855983773
1965-12-01,38.9227180527383
1966-01-01,39.2047667342799
1966-02-01,39.2987829614604
1966-03-01,38.9227180527383
1966-04-01,38.9227180527383
1966-05-01,38.8287018255578
1966-06-01,38.9227180527383
1966-07-01,38.7346855983773
1966-08-01,38.9227180527383
1966-09-01,39.2987829614604
1966-10-01,39.4868154158215
1966-11-01,39.392799188641
1966-12-01,39.6748478701826
1967-01-01,39.4868154158215
1967-02-01,39.4868154158215
1967-03-01,39.7688640973631
1967-04-01,39.4868154158215
1967-05-01,39.4868154158215
1967-06-01,39.4868154158215
1967-07-01,39.7688640973631
1967-08-01,40.2389452332657
1967-09-01,40.6150101419878
1967-10-01,41.367139959432
1967-11-01,41.367139959432
1967-12-01,41.5551724137931
1968-01-01,41.4611561866126
1968-02-01,41.6491886409736
1968-03-01,41.4611561866126
1968-04-01,41.0850912778905
1968-05-01,42.1192697768763
1968-06-01,42.1192697768763
1968-07-01,42.3073022312373
1968-08-01,42.3073022312373
1968-09-01,42.6833671399594
1968-10-01,43.0594320486815
1968-11-01,43.2474645030426
1968-12-01,43.2474645030426
1969-01-01,43.0594320486815
1969-02-01,42.965415821501
1969-03-01,43.1534482758621
1969-04-01,43.2474645030426
1969-05-01,43.2474645030426
1969-06-01,43.5295131845842
1969-07-01,43.5295131845842
1969-08-01,43.7175456389452
1969-09-01,44.2816430020284
1969-10-01,44.3756592292089
1969-11-01,44.3756592292089
1969-12-01,44.4696754563894
1970-01-01,44.3756592292089
1970-02-01,44.4696754563894
1970-03-01,44.3756592292089
1970-04-01,44.3756592292089
1970-05-01,44.3756592292089
1970-06-01,44.56369168357
1970-07-01,44.56369168357
1970-08-01,44.8457403651116
1970-09-01,45.4098377281947
1970-10-01,45.7859026369168
1970-11-01,45.9739350912779
1970-12-01,46.538032454361
1971-01-01,46.0679513184584
1971-02-01,46.161967545639
1971-03-01,46.2559837728195
1971-04-01,46.538032454361
1971-05-01,46.6320486815416
1971-06-01,46.8200811359026
1971-07-01,46.8200811359026
1971-08-01,47.1961460446248
1971-09-01,47.3841784989858
1971-10-01,47.2901622718053
1971-11-01,47.2901622718053
1971-12-01,47.5722109533469
1972-01-01,47.1021298174442
1972-02-01,47.2901622718053
1972-03-01,47.6662271805274
1972-04-01,47.5722109533469
1972-05-01,47.6662271805274
1972-06-01,47.5722109533469
1972-07-01,47.7602434077079
1972-08-01,48.13630831643
1972-09-01,48.4183569979716
1972-10-01,48.7004056795132
1972-11-01,49.0764705882353
1972-12-01,49.5465517241379
1973-01-01,49.734584178499
1973-02-01,50.6747464503043
1973-03-01,52.5550709939148
1973-04-01,52.4610547667343
1973-05-01,52.6490872210954
1973-06-01,53.2131845841785
1973-07-01,53.6832657200811
1973-08-01,54.6234279918864
1973-09-01,55.3755578093306
1973-10-01,55.8456389452333
1973-11-01,56.8798174442191
1973-12-01,59.0421906693712
1974-01-01,61.9566937119676
1974-02-01,63.3669371196754
1974-03-01,63.3669371196754
1974-04-01,63.460953346856
1974-05-01,63.8370182555781
1974-06-01,64.1190669371197
1974-07-01,65.3412778904666
1974-08-01,65.7173427991886
1974-09-01,66.6575050709939
1974-10-01,68.3497971602434
1974-11-01,69.3839756592292
1974-12-01,69.8540567951318
1975-01-01,70.0420892494929
1975-02-01,70.230121703854
1975-03-01,70.7942190669371
1975-04-01,70.7002028397566
1975-05-01,70.6061866125761
1975-06-01,70.8882352941176
1975-07-01,71.2643002028398
