DATE,PITGVG01JPM661N
1960-01-01,87.1867924528302
1960-02-01,87.1867924528302
1960-03-01,87.286320754717
1960-04-01,87.286320754717
1960-05-01,87.1867924528302
1960-06-01,87.1867924528302
1960-07-01,87.1867924528302
1960-08-01,87.0872641509434
1960-09-01,86.9877358490566
1960-10-01,86.8882075471698
1960-11-01,86.8882075471698
1960-12-01,86.8882075471698
1961-01-01,86.8882075471698
1961-02-01,86.8882075471698
1961-03-01,86.9877358490566
1961-04-01,87.1867924528302
1961-05-01,87.286320754717
1961-06-01,87.286320754717
1961-07-01,87.1867924528302
1961-08-01,87.286320754717
1961-09-01,87.1867924528302
1961-10-01,87.286320754717
1961-11-01,87.286320754717
1961-12-01,87.286320754717
1962-01-01,87.286320754717
1962-02-01,87.286320754717
1962-03-01,87.1867924528302
1962-04-01,87.1867924528302
1962-05-01,87.1867924528302
1962-06-01,86.9877358490566
1962-07-01,86.8882075471698
1962-08-01,86.8882075471698
1962-09-01,86.788679245283
1962-10-01,86.8882075471698
1962-11-01,86.8882075471698
1962-12-01,86.4900943396226
1963-01-01,86.4900943396226
1963-02-01,86.788679245283
1963-03-01,86.788679245283
1963-04-01,86.788679245283
1963-05-01,86.788679245283
1963-06-01,86.788679245283
1963-07-01,86.788679245283
1963-08-01,86.788679245283
1963-09-01,86.4900943396226
1963-10-01,86.291037735849
1963-11-01,86.291037735849
1963-12-01,86.291037735849
1964-01-01,85.9924528301887
1964-02-01,86.1915094339622
1964-03-01,86.1915094339622
1964-04-01,86.1915094339622
1964-05-01,86.1915094339622
1964-06-01,85.7933962264151
1964-07-01,85.7933962264151
1964-08-01,85.6938679245283
1964-09-01,85.6938679245283
1964-10-01,85.7933962264151
1964-11-01,85.9924528301887
1964-12-01,85.7933962264151
1965-01-01,85.6938679245283
1965-02-01,85.6938679245283
1965-03-01,85.6938679245283
1965-04-01,85.7933962264151
1965-05-01,85.6938679245283
1965-06-01,85.7933962264151
1965-07-01,85.6938679245283
1965-08-01,85.6938679245283
1965-09-01,85.6938679245283
1965-10-01,85.6938679245283
1965-11-01,85.6938679245283
1965-12-01,85.6938679245283
1966-01-01,85.9924528301887
1966-02-01,86.291037735849
1966-03-01,86.291037735849
1966-04-01,85.9924528301887
1966-05-01,85.9924528301887
1966-06-01,86.1915094339622
1966-07-01,86.291037735849
1966-08-01,86.3905660377358
1966-09-01,86.3905660377358
1966-10-01,86.3905660377358
1966-11-01,86.3905660377358
1966-12-01,86.291037735849
1967-01-01,86.3905660377358
1967-02-01,86.4900943396226
1967-03-01,86.788679245283
1967-04-01,86.8882075471698
1967-05-01,86.9877358490566
1967-06-01,86.8882075471698
1967-07-01,86.8882075471698
1967-08-01,86.8882075471698
1967-09-01,86.9877358490566
1967-10-01,86.9877358490566
1967-11-01,86.9877358490566
1967-12-01,86.9877358490566
1968-01-01,87.1867924528302
1968-02-01,87.1867924528302
1968-03-01,87.1867924528302
1968-04-01,87.286320754717
1968-05-01,87.286320754717
1968-06-01,87.4853773584906
1968-07-01,87.4853773584906
1968-08-01,87.4853773584906
1968-09-01,87.4853773584906
1968-10-01,87.286320754717
1968-11-01,87.286320754717
1968-12-01,87.286320754717
1969-01-01,87.286320754717
1969-02-01,87.4853773584906
1969-03-01,87.4853773584906
1969-04-01,87.286320754717
1969-05-01,87.286320754717
1969-06-01,87.4853773584906
1969-07-01,87.5849056603774
1969-08-01,87.6844339622642
1969-09-01,88.1820754716981
1969-10-01,88.2816037735849
1969-11-01,88.4806603773585
1969-12-01,88.5801886792453
1970-01-01,88.6797169811321
1970-02-01,88.8787735849056
1970-03-01,89.0778301886792
1970-04-01,89.2768867924528
1970-05-01,89.7745283018868
1970-06-01,89.7745283018868
1970-07-01,89.9735849056604
1970-08-01,90.0731132075472
1970-09-01,90.0731132075472
1970-10-01,90.0731132075472
1970-11-01,90.0731132075472
1970-12-01,89.9735849056604
1971-01-01,90.0731132075472
1971-02-01,89.9735849056604
1971-03-01,89.7745283018868
1971-04-01,90.0731132075472
1971-05-01,90.3716981132076
1971-06-01,90.4712264150943
1971-07-01,90.3716981132076
1971-08-01,90.4712264150943
1971-09-01,89.7745283018868
1971-10-01,89.5754716981132
1971-11-01,89.5754716981132
1971-12-01,89.2768867924528
1972-01-01,89.2768867924528
1972-02-01,89.2768867924528
1972-03-01,89.3764150943396
1972-04-01,90.0731132075472
1972-05-01,90.0731132075472
1972-06-01,90.4712264150943
1972-07-01,90.4712264150943
1972-08-01,90.6702830188679
1972-09-01,90.7698113207547
1972-10-01,91.0683962264151
1972-11-01,91.0683962264151
1972-12-01,91.1679245283019
1973-01-01,91.3669811320755
1973-02-01,92.2627358490566
1973-03-01,93.3575471698113
1973-04-01,95.2485849056604
1973-05-01,96.2438679245283
1973-06-01,97.5377358490566
1973-07-01,98.4334905660377
1973-08-01,99.5283018867924
1973-09-01,101.120754716981
1973-10-01,102.912264150943
1973-11-01,105.300943396226
1973-12-01,110.376886792453
1974-01-01,116.448113207547
1974-02-01,120.926886792453
1974-03-01,122.419811320755
1974-04-01,123.016981132075
1974-05-01,123.81320754717
1974-06-01,124.609433962264
1974-07-01,125.604716981132
1974-08-01,125.704245283019
1974-09-01,126.002830188679
1974-10-01,126.500471698113
1974-11-01,127.097641509434
1974-12-01,128.192452830189
1975-01-01,128.291981132075
1975-02-01,128.092924528302
1975-03-01,127.495754716981
1975-04-01,128.291981132075
1975-05-01,128.491037735849
1975-06-01,128.291981132075
1975-07-01,128.291981132075
1975-08-01,128.192452830189
1975-09-01,128.192452830189
